datetime,elec_value
2021-04-16 12:00:00,332.918
2021-04-16 13:00:00,338.296
2021-04-16 14:00:00,350.234
2021-04-16 15:00:00,351.329
2021-04-16 16:00:00,352.268
2021-04-16 17:00:00,365.28
2021-04-16 18:00:00,361.256
2021-04-16 19:00:00,358.334
2021-04-16 20:00:00,368.385
2021-04-16 21:00:00,377.29
2021-04-16 22:00:00,362.634
2021-04-16 23:00:00,362.527
2021-04-17 00:00:00,348.206
2021-04-17 01:00:00,370.025
2021-04-17 02:00:00,364.764
2021-04-17 03:00:00,363.481
2021-04-17 04:00:00,358.008
2021-04-17 05:00:00,354.94
2021-04-17 06:00:00,346.422
2021-04-17 07:00:00,332.231
2021-04-17 08:00:00,320.211
2021-04-17 09:00:00,320.681
2021-04-17 10:00:00,330.523
2021-04-17 11:00:00,326.742
2021-04-17 12:00:00,319.461
2021-04-17 13:00:00,322.994
2021-04-17 14:00:00,322.644
2021-04-17 15:00:00,323.442
2021-04-17 16:00:00,333.238
2021-04-17 17:00:00,335.589
2021-04-17 18:00:00,351.141
2021-04-17 19:00:00,347.911
2021-04-17 20:00:00,362.499
2021-04-17 21:00:00,368.109
2021-04-17 22:00:00,364.828
2021-04-17 23:00:00,372.609
2021-04-18 00:00:00,357.963
2021-04-18 01:00:00,363.423
2021-04-18 02:00:00,362.315
2021-04-18 03:00:00,361.967
2021-04-18 04:00:00,356.845
2021-04-18 05:00:00,354.002
2021-04-18 06:00:00,342.162
2021-04-18 07:00:00,317.552
2021-04-18 08:00:00,313.4
2021-04-18 09:00:00,313.568
2021-04-18 10:00:00,315.207
2021-04-18 11:00:00,304.606
2021-04-18 12:00:00,303.403
2021-04-18 13:00:00,302.799
2021-04-18 14:00:00,310.369
2021-04-18 15:00:00,306.39
2021-04-18 16:00:00,315.027
2021-04-18 17:00:00,319.368
2021-04-18 18:00:00,333.694
2021-04-18 19:00:00,333.296
2021-04-18 20:00:00,354.205
2021-04-18 21:00:00,366.763
2021-04-18 22:00:00,340.35
2021-04-18 23:00:00,335.769
2021-04-19 00:00:00,334.279
2021-04-19 01:00:00,329.489
2021-04-19 02:00:00,346.37
2021-04-19 03:00:00,333.461
2021-04-19 04:00:00,336.388
2021-04-19 05:00:00,335.215
2021-04-19 06:00:00,328.728
2021-04-19 07:00:00,308.427
2021-04-19 08:00:00,302.6
2021-04-19 09:00:00,313.395
2021-04-19 10:00:00,309.11
2021-04-19 11:00:00,310.997
2021-04-19 12:00:00,308.539
2021-04-19 13:00:00,316.539
2021-04-19 14:00:00,321.969
2021-04-19 15:00:00,324.907
2021-04-19 16:00:00,338.454
2021-04-19 17:00:00,337.973
2021-04-19 18:00:00,327.477
2021-04-19 19:00:00,329.06
2021-04-19 20:00:00,344.467
2021-04-19 21:00:00,340.894
2021-04-19 22:00:00,335.43
2021-04-19 23:00:00,348.609
2021-04-20 00:00:00,342.811
2021-04-20 01:00:00,348.436
2021-04-20 02:00:00,399.799
2021-04-20 03:00:00,344.161
2021-04-20 04:00:00,349.533
2021-04-20 05:00:00,340.32
2021-04-20 06:00:00,342.223
2021-04-20 07:00:00,317.792
2021-04-20 08:00:00,301.655
2021-04-20 09:00:00,313.556
2021-04-20 10:00:00,304.838
2021-04-20 11:00:00,315.286
2021-04-20 12:00:00,311.162
2021-04-20 13:00:00,324.366
2021-04-20 14:00:00,327.671
2021-04-20 15:00:00,312.75
2021-04-20 16:00:00,320.605
2021-04-20 17:00:00,332.131
2021-04-20 18:00:00,316.089
2021-04-20 19:00:00,335.499
2021-04-20 20:00:00,347.258
2021-04-20 21:00:00,353.817
2021-04-20 22:00:00,347.355
2021-04-20 23:00:00,356.649
2021-04-21 00:00:00,341.823
2021-04-21 01:00:00,339.618
2021-04-21 02:00:00,337.641
2021-04-21 03:00:00,338.817
2021-04-21 04:00:00,334.231
2021-04-21 05:00:00,334.117
2021-04-21 06:00:00,325.817
2021-04-21 07:00:00,310.991
2021-04-21 08:00:00,296.494
2021-04-21 09:00:00,311.56
2021-04-21 10:00:00,328.557
2021-04-21 11:00:00,324.869
2021-04-21 12:00:00,313.518
2021-04-21 13:00:00,320.819
2021-04-21 14:00:00,323.846
2021-04-21 15:00:00,325.797
2021-04-21 16:00:00,344.775
2021-04-21 17:00:00,356.998
2021-04-21 18:00:00,346.893
2021-04-21 19:00:00,360.226
2021-04-21 20:00:00,376.471
2021-04-21 21:00:00,376.358
2021-04-21 22:00:00,363.513
2021-04-21 23:00:00,356.76
2021-04-22 00:00:00,348.725
2021-04-22 01:00:00,344.163
2021-04-22 02:00:00,345.269
2021-04-22 03:00:00,350.441
2021-04-22 04:00:00,353.355
2021-04-22 05:00:00,345.229
2021-04-22 06:00:00,342.377
2021-04-22 07:00:00,318.931
2021-04-22 08:00:00,307.096
2021-04-22 09:00:00,331.143
2021-04-22 10:00:00,324.325
2021-04-22 11:00:00,335.994
2021-04-22 12:00:00,323.024
2021-04-22 13:00:00,339.945
2021-04-22 14:00:00,344.856
2021-04-22 15:00:00,345.116
2021-04-22 16:00:00,353.602
2021-04-22 17:00:00,350.749
2021-04-22 18:00:00,354.834
2021-04-22 19:00:00,357.942
2021-04-22 20:00:00,379.166
2021-04-22 21:00:00,376.614
2021-04-22 22:00:00,361.88
2021-04-22 23:00:00,358.935
2021-04-23 00:00:00,353.732
2021-04-23 01:00:00,350.081
2021-04-23 02:00:00,350.787
2021-04-23 03:00:00,352.79
2021-04-23 04:00:00,360.02
2021-04-23 05:00:00,350.722
2021-04-23 06:00:00,345.086
2021-04-23 07:00:00,326.759
2021-04-23 08:00:00,310.22
2021-04-23 09:00:00,329.859
2021-04-23 10:00:00,333.739
2021-04-23 11:00:00,333.254
2021-04-23 12:00:00,325.892
2021-04-23 13:00:00,342.3
2021-04-23 14:00:00,346.463
2021-04-23 15:00:00,351.918
2021-04-23 16:00:00,352.72
2021-04-23 17:00:00,379.921
2021-04-23 18:00:00,364.73
2021-04-23 19:00:00,376.119
2021-04-23 20:00:00,384.377
2021-04-23 21:00:00,382.855
2021-04-23 22:00:00,364.757
2021-04-23 23:00:00,370.357
2021-04-24 00:00:00,354.994
2021-04-24 01:00:00,362.044
2021-04-24 02:00:00,355.713
2021-04-24 03:00:00,352.418
2021-04-24 04:00:00,355.425
2021-04-24 05:00:00,361.257
2021-04-24 06:00:00,350.363
2021-04-24 07:00:00,325.358
2021-04-24 08:00:00,312.764
2021-04-24 09:00:00,323.847
